URL                                                                                                                         , Product Title                                                                   , Nutrition and caloric content
https://www.hillspet.co.uk/dog-food/ve-canine-vetessentials-healthy-digestive-biome-adult-medium-dry                        , Multi-Benefit + Digestion Adult 1+ Medium Dry Dog Food with Chicken Bag         , 3349 kcal/kg (335 kcal/100g)
https://www.hillspet.co.uk/dog-food/pd-canine-gastrointestinal-biome-chicken-vegetable-stew-canned                          , Gastrointestinal Biome Stew for Dogs with Chicken & added Carrots Can           , 287.4 kcal (354 g) can
https://www.hillspet.co.uk/dog-food/sp-canine-adult-perfect-weight-and-active-mobility-medium-chicken-dry                   , Perfect Weight & Active Mobility Adult Medium Dry Dog Food Chicken              , 3207 kcal/kg (321 kcal/100g)
https://www.hillspet.co.uk/dog-food/pd-canine-kd-early-stage-dry                                                            , k/d Early Stage Dog Food                                                        , 3866 kcal/kg (387 kcal/100g)
https://www.hillspet.co.uk/dog-food/pd-gastrointestinal-biome-canine-dry                                                    , Gastrointestinal Biome Dry Dog Food with Chicken Bag                            , 3430 kcal/kg (343 kcal/100g)
https://www.hillspet.co.uk/dog-food/pd-metabolic-canine-vegetable-and-chicken-stew-canned                                   , Metabolic Stew for Dog with Chicken & Vegetables                                , 248 kcal (354 g) can
https://www.hillspet.co.uk/dog-food/pd-id-canine-chicken-and-vegetable-stew-canned                                          , i/d Digestive Care Dog Food                                                     , "116.7 kcal (156 g) can , 264.8 kcal (354 g) can"
https://www.hillspet.co.uk/dog-food/pd-kd-canine-chicken-and-vegetable-stew-canned                                          , k/d Stew for Dogs                                                               , 352 kcal/can
https://www.hillspet.co.uk/dog-food/sp-canine-science-plan-adult-7-plus-light-medium-with-chicken-dry                       , Light Mature Adult Medium Dry Dog Food with Chicken Bag                         , 3125 kcal/kg (313 kcal/100g)
https://www.hillspet.co.uk/dog-food/pd-id-canine-stress-rice-vegetable-and-chicken-stew-canned                              , i/d Stress Mini Stew for Dogs                                                   , 122.7 kcal (156 g) can
https://www.hillspet.co.uk/dog-food/pd-canine-prescription-diet-dd-duck-canned                                              , d/d Food Sensitivities Wet Dog Food Duck Can                                    , 388 kcal (370 g) can
https://www.hillspet.co.uk/dog-food/sp-canine-adult-sensitive-stomach-and-skin-with-chicken-dry                             , Sensitive Stomach & Skin Adult Medium Breed Dry Dog Food with Chicken           , 3717 kcal/kg (372 kcal/100g)
https://www.hillspet.co.uk/dog-food/ve-canine-vetessentials-puppy-large-breed-dry                                           , Multi-Benefit Puppy Large Breed Dry Food                                        , 3761 kcal/kg (376 kcal/100g)
https://www.hillspet.co.uk/dog-food/pd-id-low-fat-canine-rice-vegetable-and-chicken-stew-canned                             , i/d Low Fat Digestive Care Dog Food                                             , "122.7 kcal (156 g can), 278.6 kcal (354 g can)"
https://www.hillspet.co.uk/dog-food/pd-cd-multicare-canine-chicken-and-vegetable-canned                                     , c/d Multicare Urinary Care Stew for Dog Food with Chicken & added Vegetables Can, 266 kcal / 12.5 oz (354 g) can
https://www.hillspet.co.uk/dog-food/pd-canine-prescription-diet-metabolic-small-breed-dry                                   , Metabolic Mini Dog Food                                                         , 3107 kcal/kg (311 kcal/100g)
https://www.hillspet.co.uk/dog-food/sp-canine-science-plan-adult-small-and-miniature-lamb-rice-dry                          , Adult Small & Mini Breed Dry Dog Food with Lamb & Rice                          , 3688 kcal/kg (369 kcal/100g)
https://www.hillspet.co.uk/dog-food/pd-canine-prescription-diet-zd-mini-original-canned                                     , z/d Food Sensitivities Dog Wet Food Original Can                                , 965 kcal/kg
https://www.hillspet.co.uk/dog-food/sp-canine-science-plan-adult-healthy-mobility-large-with-chicken-dry                    , Healthy Mobility Adult Large Breed Adult Dry Dog Food with Chicken              , 3681 kcal/kg (368 kcal/100g)
https://www.hillspet.co.uk/dog-food/sp-canine-science-plan-mature-adult-7-plus-medium-savoury-chicken-canned                , Mature Adult Wet Dog Food with Chicken                                          , 332.6 kcal (370 g) can
https://www.hillspet.co.uk/dog-food/pd-canine-prescription-diet-metabolic-original-dry                                      , Metabolic Dry Dog Food with Chicken                                             , 3107 kcal/kg (311 kcal/100g)
https://www.hillspet.co.uk/dog-food/pd-canine-metabolic-plus-mobility-with-chicken-dry                                      , Metabolic + Mobility Dog Food                                                   , 3199 kcal/kg (320 kcal/100g)
https://www.hillspet.co.uk/dog-food/ve-canine-vetessentials-adult-mini-dry                                                  , Multi-Benefit + Dental Adult 1+ Small & Mini Dry Dog Food                       , 3400 kcal/kg (340 kcal/100g)
https://www.hillspet.co.uk/dog-food/ve-canine-vetessentials-canine-adult-dry                                                , Multi-Benefit + Dental Adult 1+ Medium And Large Breed Dry Dog Food             , 3400 kcal/kg (340 kcal/100g)
https://www.hillspet.co.uk/dog-food/pd-canine-prescription-diet-rd-with-chicken-dry                                         , r/d Dog Food                                                                    , 3118 kcal/kg (312 kcal/100g)
https://www.hillspet.co.uk/dog-food/pd-canine-prescription-diet-metabolic-plus-urinary-original-dry                         , c/d Multicare + Metabolic Dry Dog Food Original Bag                             , 3102 kcal/kg (310 kcal/100g)
https://www.hillspet.co.uk/dog-food/sp-canine-science-plan-adult-perfect-weight-large-breed-with-chicken-dry                , Perfect Weight Adult Large Breed Dry Dog Food with Chicken                      , 3166 kcal/kg (317 kcal/100g)
https://www.hillspet.co.uk/dog-food/sp-canine-science-plan-adult-small-and-miniature-sensitive-stomach-skin-with-chicken-dry, Sensitive Stomach & Skin Adult Small & Mini Breed Dry Dog Food Chicken          , 3713 kcal/kg (371 kcal/100g)
