    , Breed                     , Disease_x                                           , Count        , Disorder                                                   , Disease_y
  89, french bulldog            , Уролитиаз/МКБ                                       , 0            , Inherited eye disorders                                    , Entropion
  90, french bulldog            , Уролитиаз/МКБ                                       , 0            , Inherited gastrointestinal disorders                       , Cleft lip/palate
  91, french bulldog            , Уролитиаз/МКБ                                       , 0            , Inherited gastrointestinal disorders                       , Histiocytic ulcerative colitis
  92, french bulldog            , Уролитиаз/МКБ                                       , 0            , Inherited musculoskeletal disorders                        , Hemivertebra
  93, french bulldog            , Уролитиаз/МКБ                                       , 0            , Inherited musculoskeletal disorders                        , Intervertebral disk disease
  94, french bulldog            , Уролитиаз/МКБ                                       , 0            , Inherited nervous system disorders                         , Intervertebral disk disease
  95, french bulldog            , Уролитиаз/МКБ                                       , 0            , Inherited respiratory disorders                            , brachycephalic syndrome
  96, pekingese                 , Уролитиаз/МКБ                                       , 2            , Inherited cardiovascular disorders                         , Mitral valve dysplasia
  97, pekingese                 , Уролитиаз/МКБ                                       , 2            , Inherited disorders of the urinary and reproductive systems, "Cryptorchidism, retained testicle"
  98, pekingese                 , Уролитиаз/МКБ                                       , 2            , Inherited eye disorders                                    , Cataracts
  99, pekingese                 , Уролитиаз/МКБ                                       , 2            , Inherited eye disorders                                    , Entropion
 100, pekingese                 , Уролитиаз/МКБ                                       , 2            , Inherited eye disorders                                    , "Exposure keratopathy syndrome (exophthalmos, lagophthalmos, and/or macroblepharon)"
 101, pekingese                 , Уролитиаз/МКБ                                       , 2            , Inherited eye disorders                                    , "Keratoconjunctivitis sicca (KCS) - ""dry eye"""
 102, pekingese                 , Уролитиаз/МКБ                                       , 2            , Inherited eye disorders                                    , Progressive retinal atrophy
 103, pekingese                 , Уролитиаз/МКБ                                       , 2            , Inherited gastrointestinal disorders                       , Cleft lip/palate
 104, pekingese                 , Уролитиаз/МКБ                                       , 2            , Inherited musculoskeletal disorders                        , Patellar luxation
 105, pekingese                 , Уролитиаз/МКБ                                       , 2            , Inherited musculoskeletal disorders                        , Intervertebral disk disease
 106, pekingese                 , Уролитиаз/МКБ                                       , 2            , Inherited nervous system disorders                         , Hydrocephalus
 107, pekingese                 , Уролитиаз/МКБ                                       , 2            , Inherited nervous system disorders                         , Intervertebral disk disease
 108, pekingese                 , Уролитиаз/МКБ                                       , 2            , Inherited respiratory disorders                            , brachycephalic syndrome
 109, pekingese                 , Уролитиаз/МКБ                                       , 2            , Inherited skin disorders                                   , Fold dermatitis/pyoderma
 110, dachshund                 , Уролитиаз/МКБ                                       , 2+1          , Inherited blood disorders                                  , Histiocytoma
 111, dachshund                 , Уролитиаз/МКБ                                       , 2+1          , Inherited blood disorders                                  , Pyruvate kinase (PK) deficiency
 112, dachshund                 , Уролитиаз/МКБ                                       , 2+1          , Inherited blood disorders                                  , von Willebrand's disease
 113, dachshund                 , Уролитиаз/МКБ                                       , 2+1          , Inherited cardiovascular disorders                         , Mitral valve dysplasia
 114, dachshund                 , Уролитиаз/МКБ                                       , 2+1          , Inherited cardiovascular disorders                         , Portosystemic shunt
 115, dachshund                 , Уролитиаз/МКБ                                       , 2+1          , Inherited cardiovascular disorders                         , Sick sinus syndrome
 116, dachshund                 , Уролитиаз/МКБ                                       , 2+1          , Inherited disorders of the urinary and reproductive systems, "Cryptorchidism, retained testicle"
 117, dachshund                 , Уролитиаз/МКБ                                       , 2+1          , Inherited disorders of the urinary and reproductive systems, Urolithiasis (stones)
 118, dachshund                 , Уролитиаз/МКБ                                       , 2+1          , Inherited endocrine disorders                              , Hyperadrenocorticism (Cushing's syndrome)
 119, dachshund                 , Уролитиаз/МКБ                                       , 2+1          , Inherited eye disorders                                    , Cataracts
 120, dachshund                 , Уролитиаз/МКБ                                       , 2+1          , Inherited eye disorders                                    , Dermoids
 121, dachshund                 , Уролитиаз/МКБ                                       , 2+1          , Inherited eye disorders                                    , "Keratoconjunctivitis sicca (KCS) - ""dry eye"""
 122, dachshund                 , Уролитиаз/МКБ                                       , 2+1          , Inherited eye disorders                                    , Microphthalmia; ocular dysgenesis
 123, dachshund                 , Уролитиаз/МКБ                                       , 2+1          , Inherited eye disorders                                    , Optic nerve hypoplasia and micropapilla
 124, dachshund                 , Уролитиаз/МКБ                                       , 2+1          , Inherited eye disorders                                    , Pannus - chronic superficial keratitis
 125, dachshund                 , Уролитиаз/МКБ                                       , 2+1          , Inherited eye disorders                                    , Corneal dystrophy
 126, dachshund                 , Уролитиаз/МКБ                                       , 2+1          , Inherited eye disorders                                    , Glaucoma
 127, dachshund                 , Уролитиаз/МКБ                                       , 2+1          , Inherited eye disorders                                    , Progressive retinal atrophy
 128, dachshund                 , Уролитиаз/МКБ                                       , 2+1          , Inherited gastrointestinal disorders                       , Cleft lip/palate
 129, dachshund                 , Уролитиаз/МКБ                                       , 2+1          , Inherited gastrointestinal disorders                       , Portosystemic shunt
 130, dachshund                 , Уролитиаз/МКБ                                       , 2+1          , Inherited musculoskeletal disorders                        , Elbow dysplasia - OCD of the elbow
 131, dachshund                 , Уролитиаз/МКБ                                       , 2+1          , Inherited musculoskeletal disorders                        , Intervertebral disk disease
 132, dachshund                 , Уролитиаз/МКБ                                       , 2+1          , Inherited nervous system disorders                         , Deafness
 133, dachshund                 , Уролитиаз/МКБ                                       , 2+1          , Inherited nervous system disorders                         , Idiopathic epilepsy
 134, dachshund                 , Уролитиаз/МКБ                                       , 2+1          , Inherited nervous system disorders                         , Intervertebral disk disease
 135, dachshund                 , Уролитиаз/МКБ                                       , 2+1          , Inherited skin disorders                                   , acanthosis nigricans
 136, dachshund                 , Уролитиаз/МКБ                                       , 2+1          , Inherited skin disorders                                   , colour dilution alopecia
 137, dachshund                 , Уролитиаз/МКБ                                       , 2+1          , Inherited skin disorders                                   , Cutaneous asthenia (Ehlers-Danlos syndrome)
